dataset,seed,model,probability_calibration,defer_cost,mondrian_cost,mondrian_abstain,threshold_cost,cost_diff,cost_diff_ci_lo,cost_diff_ci_hi,p_mondrian_cheaper,mondrian_wins
uci_default,7,gnb,sigmoid,1.0,0.9053333333333333,0.6335,0.7788333333333334,0.1265,0.08933333333333333,0.16650833333333334,0.0,False
uci_default,7,gnb,sigmoid,2.0,1.5388333333333333,0.6335,0.7788333333333334,0.76,0.7224958333333333,0.7996791666666666,0.0,False
uci_default,7,gnb,isotonic,0.0,0.16283333333333333,0.7463333333333333,0.7788333333333334,-0.616,-0.6463375,-0.5866583333333334,1.0,True
uci_default,7,gnb,isotonic,0.5,0.536,0.7463333333333333,0.7788333333333334,-0.24283333333333335,-0.2703375,-0.21457083333333332,1.0,True
uci_default,7,gnb,isotonic,1.0,0.9091666666666667,0.7463333333333333,0.7788333333333334,0.13033333333333333,0.10283333333333333,0.16000833333333334,0.0,False
uci_default,7,gnb,isotonic,2.0,1.6555,0.7463333333333333,0.7788333333333334,0.8766666666666667,0.8459833333333333,0.9091791666666666,0.0,False
uci_default,19,hgb,none,0.0,0.263,0.5063333333333333,0.6955,-0.4325,-0.46050416666666666,-0.40482083333333335,1.0,True
uci_default,19,hgb,none,0.5,0.5161666666666667,0.5063333333333333,0.6955,-0.17933333333333334,-0.20575208333333334,-0.15222708333333335,1.0,True
uci_default,19,hgb,none,1.0,0.7693333333333333,0.5063333333333333,0.6955,0.07383333333333333,0.04764583333333334,0.10151666666666666,0.0,False
uci_default,19,hgb,none,2.0,1.2756666666666667,0.5063333333333333,0.6955,0.5801666666666667,0.5509958333333334,0.6108625,0.0,False
uci_default,19,hgb,sigmoid,0.0,0.2728333333333333,0.506,0.6973333333333334,-0.4245,-0.45600416666666665,-0.39348333333333335,1.0,True
uci_default,19,hgb,sigmoid,0.5,0.5258333333333334,0.506,0.6973333333333334,-0.1715,-0.20009375000000001,-0.14174791666666667,1.0,True
uci_default,19,hgb,sigmoid,1.0,0.7788333333333334,0.506,0.6973333333333334,0.0815,0.051658333333333334,0.11117083333333333,0.0,False
uci_default,19,hgb,sigmoid,2.0,1.2848333333333333,0.506,0.6973333333333334,0.5875,0.5528041666666667,0.6198416666666666,0.0,False
uci_default,19,hgb,isotonic,0.0,0.23066666666666666,0.5651666666666667,0.6976666666666667,-0.467,-0.49500416666666663,-0.43816666666666665,1.0,True
uci_default,19,hgb,isotonic,0.5,0.51325,0.5651666666666667,0.6976666666666667,-0.18441666666666667,-0.21117083333333334,-0.15808125,1.0,True
uci_default,19,hgb,isotonic,1.0,0.7958333333333333,0.5651666666666667,0.6976666666666667,0.09816666666666667,0.0711625,0.12450833333333333,0.0,False
uci_default,19,hgb,isotonic,2.0,1.361,0.5651666666666667,0.6976666666666667,0.6633333333333333,0.6311541666666667,0.6918416666666666,0.0,False
uci_default,19,logreg,none,0.0,0.279,0.6173333333333333,0.7806666666666666,-0.5016666666666667,-0.5401791666666667,-0.4646666666666667,1.0,True
uci_default,19,logreg,none,0.5,0.5876666666666667,0.6173333333333333,0.7806666666666666,-0.193,-0.22966666666666666,-0.1561625,1.0,True
uci_default,19,logreg,none,1.0,0.8963333333333333,0.6173333333333333,0.7806666666666666,0.11566666666666667,0.07883333333333334,0.1515208333333333,0.0,False
uci_default,19,logreg,none,2.0,1.5136666666666667,0.6173333333333333,0.7806666666666666,0.733,0.6951666666666667,0.769675,0.0,False
uci_default,19,logreg,sigmoid,0.0,0.27316666666666667,0.6176666666666667,0.7835,-0.5103333333333333,-0.5476666666666666,-0.4754833333333333,1.0,True
