dataset,model,probability_calibration,method,n_seeds,marginal_coverage_mean,marginal_coverage_ci_lo,marginal_coverage_ci_hi,coverage_class_0_mean,coverage_class_0_ci_lo,coverage_class_0_ci_hi,coverage_class_1_mean,coverage_class_1_ci_lo,coverage_class_1_ci_hi,average_set_size_mean,average_set_size_ci_lo,average_set_size_ci_hi,abstention_rate_mean,abstention_rate_ci_lo,abstention_rate_ci_hi,mean_cost_mean,mean_cost_ci_lo,mean_cost_ci_hi
uci_default,ada,none,mondrian_cp,10,0.9048166666666665,0.9010476480040684,0.9085856853292645,0.9033811256152365,0.8971394940018365,0.9096227572286366,0.9098718914845516,0.9023883446370259,0.9173554383320773,1.5519,1.5438180967771382,1.559981903222862,0.5519000000000001,0.5438180967771382,0.5599819032228619,0.2745833333333333,0.26131985762365467,0.2878468090430119
uci_default,ada,none,random_oversampling_threshold,10,0.40148333333333336,0.3614648533744166,0.44150181329225013,0.24926171624224264,0.19218347699929414,0.30633995548519116,0.937528259231349,0.917106649602944,0.957949868859754,1.0,1.0,1.0,0.0,0.0,0.0,0.7228666666666668,0.7148062700952263,0.7309270632381072
uci_default,ada,none,raps_cp,10,0.9023833333333332,0.8998328914834511,0.9049337751832153,0.9793280547827947,0.9777374096982367,0.9809186998673527,0.6314242652599849,0.6222703412667977,0.640578189253172,1.4077499999999998,1.3944095112070594,1.4210904887929403,0.40774999999999995,0.3944095112070596,0.4210904887929403,0.8312666666666667,0.8107697281129687,0.8517636052203648
uci_default,ada,none,risk_controlled_rejector,10,0.9097166666666666,0.9065777000914235,0.9128556332419098,0.9874598758827305,0.9861011963762332,0.9888185553892279,0.63594574227581,0.62247967380241,0.6494118107492101,1.2837,1.2681815339055071,1.299218466094493,0.2837,0.2681815339055071,0.29921846609449293,0.8149333333333335,0.7851550112620227,0.8447116554046443
uci_default,ada,none,smote_threshold,10,0.3342833333333334,0.2823962970014263,0.38617036966524043,0.15908410014979668,0.0859035275582854,0.23226467274130796,0.951243406179352,0.9279864121550894,0.9745004002036146,1.0,1.0,1.0,0.0,0.0,0.0,0.7627666666666666,0.7545534989073928,0.7709798344259404
uci_default,ada,sigmoid,aps_cp,10,0.9026166666666666,0.9001759762057671,0.9050573571275662,0.9849989300235394,0.9830531549515608,0.9869447050955181,0.612509419743783,0.603026819658455,0.6219920198291111,1.3403166666666668,1.3327791562907756,1.347854177042558,0.34301666666666664,0.33551099891851266,0.3505223344148206,0.8665833333333334,0.8457469813801711,0.8874196852864956
uci_default,ada,sigmoid,capacity_limited_aps,10,0.8564333333333334,0.8551717250319288,0.8576949416347379,0.9811684142948855,0.9793465841721463,0.9829902444176248,0.4171816126601356,0.4085489637303521,0.4258142615899191,1.1,1.1,1.1,0.1,0.1,0.1,1.3036666666666668,1.2856148066961524,1.3217185266371811
uci_default,ada,sigmoid,capacity_limited_class_conditional_rejector,10,0.8579166666666668,0.8562940760692228,0.8595392572641107,0.9840145516798631,0.9827300461278746,0.9852990572318515,0.4138658628485305,0.40609751468883204,0.42163421100822895,1.1,1.1,1.1,0.1,0.1,0.1,1.3087833333333334,1.2919610713034377,1.325605595363229
uci_default,ada,sigmoid,capacity_limited_confidence_rejector,10,0.8579500000000001,0.8563341461226069,0.8595658538773933,0.9840573507382837,0.9827619349514572,0.9853527665251102,0.4138658628485305,0.4061948544508451,0.4215368712462159,1.1,1.1,1.1,0.1,0.1,0.1,1.30875,1.2921367347587747,1.3253632652412255
uci_default,ada,sigmoid,capacity_limited_mondrian,10,0.8356333333333333,0.8321265700900498,0.8391400965766169,0.9059062700620586,0.8995773112569678,0.9122352288671494,0.5881688018085909,0.5801322128555472,0.5962053907616346,1.1,1.1,1.1,0.1,0.1,0.1,0.9841166666666666,0.9703823241632921,0.9978510091700412
uci_default,ada,sigmoid,capacity_limited_raps,10,0.8563166666666666,0.8550132252768105,0.8576201080565228,0.9810828161780443,0.9793207631472598,0.9828448692088287,0.41695553880934433,0.408228359579957,0.42568271803873164,1.1,1.1,1.1,0.1,0.1,0.1,1.3042333333333334,1.2859211356525186,1.322545531014148
