dataset,model,probability_calibration,marginal_minority_coverage,mondrian_minority_coverage,coverage_gain,mondrian_abstention,mondrian_cost,break_even_defer_cost,failure_mode
fraud,rf,isotonic,0.5232323232323232,0.9242424242424242,0.40101010101010104,0.5007917559074471,0.026394789508795334,0.0,low_review_cost_tolerance
mammography,rf,isotonic,0.37115384615384617,0.9576923076923076,0.5865384615384615,0.4989271345552078,0.061063924899418864,0.024280978406952775,low_review_cost_tolerance
mammography,et,isotonic,0.3365384615384615,0.9576923076923076,0.6211538461538462,0.49472507822977196,0.06481895395619133,0.004246860034336315,low_review_cost_tolerance
mammography,logreg,sigmoid,0.0,0.9211538461538462,0.9211538461538462,0.49021010281627164,0.1020563254358516,0.0,low_review_cost_tolerance
mammography,logreg,none,0.10769230769230768,0.926923076923077,0.8192307692307693,0.4886008046490836,0.1020563254358516,0.0,low_review_cost_tolerance
mammography,gnb,sigmoid,0.0,0.9423076923076922,0.9423076923076922,0.46526598122485474,0.10943227536879749,0.0019215987701767874,low_review_cost_tolerance
mammography,hgb,sigmoid,0.0,0.9326923076923078,0.9326923076923078,0.4632990612427358,0.06182387125614662,0.029042840602084136,low_review_cost_tolerance
mammography,gnb,none,0.6019230769230769,0.9423076923076923,0.3403846153846154,0.4582029503799731,0.11037103263299061,0.0017560975609756107,low_review_cost_tolerance
aps_failure,gnb,isotonic,0.0,0.9363636363636365,0.9363636363636365,0.3815855263157895,0.04661842105263157,0.024499577593489766,low_review_cost_tolerance
aps_failure,gnb,none,0.8661818181818182,0.9298181818181819,0.06363636363636371,0.37976973684210524,0.048118421052631574,0.020597661325249025,low_review_cost_tolerance
mammography,hgb,none,0.14807692307692308,0.925,0.7769230769230769,0.35230219043361644,0.06696468484577558,0.012308082730617944,low_review_cost_tolerance
mammography,ada,none,0.06346153846153847,0.9346153846153846,0.8711538461538462,0.351855163164953,0.10777827447474295,0.0,low_review_cost_tolerance
mammography,ada,sigmoid,0.0,0.9153846153846154,0.9153846153846154,0.3516763522574877,0.1060795708538221,0.0,low_review_cost_tolerance
