dataset,seed,model,probability_calibration,method,fn_cost,fp_cost,defer_cost,threshold,marginal_coverage,coverage_class_0,coverage_class_1,average_set_size,abstention_rate,mean_cost,mean_cost_automated_only
uci_default,7,logreg,none,cost_tuned_threshold,5.0,1.0,0.5,0.242,0.745,0.7932805478279478,0.5749811605124341,1.0,0.0,0.631,0.631
uci_default,7,logreg,none,mondrian_cp,5.0,1.0,1.0,,0.9071666666666667,0.9054140808902205,0.9133383571966842,1.6576666666666666,0.6576666666666666,0.8271666666666667,0.49513145082765336
uci_default,7,logreg,none,cost_tuned_threshold,5.0,1.0,1.0,0.242,0.745,0.7932805478279478,0.5749811605124341,1.0,0.0,0.631,0.631
uci_default,7,logreg,none,mondrian_cp,10.0,1.0,0.0,,0.9071666666666667,0.9054140808902205,0.9133383571966842,1.6576666666666666,0.6576666666666666,0.2653333333333333,0.7750730282375852
uci_default,7,logreg,none,cost_tuned_threshold,10.0,1.0,0.0,0.006,0.22316666666666668,0.002995934089450032,0.9984928409947249,1.0,0.0,0.7798333333333334,0.7798333333333334
uci_default,7,logreg,none,mondrian_cp,10.0,1.0,0.25,,0.9071666666666667,0.9054140808902205,0.9133383571966842,1.6576666666666666,0.6576666666666666,0.42975,0.7750730282375852
uci_default,7,logreg,none,cost_tuned_threshold,10.0,1.0,0.25,0.006,0.22316666666666668,0.002995934089450032,0.9984928409947249,1.0,0.0,0.7798333333333334,0.7798333333333334
uci_default,7,logreg,none,mondrian_cp,10.0,1.0,0.5,,0.9071666666666667,0.9054140808902205,0.9133383571966842,1.6576666666666666,0.6576666666666666,0.5941666666666666,0.7750730282375852
uci_default,7,logreg,none,cost_tuned_threshold,10.0,1.0,0.5,0.006,0.22316666666666668,0.002995934089450032,0.9984928409947249,1.0,0.0,0.7798333333333334,0.7798333333333334
uci_default,7,logreg,none,mondrian_cp,10.0,1.0,1.0,,0.9071666666666667,0.9054140808902205,0.9133383571966842,1.6576666666666666,0.6576666666666666,0.923,0.7750730282375852
uci_default,7,logreg,none,cost_tuned_threshold,10.0,1.0,1.0,0.006,0.22316666666666668,0.002995934089450032,0.9984928409947249,1.0,0.0,0.7798333333333334,0.7798333333333334
uci_default,7,logreg,none,mondrian_cp,20.0,1.0,0.0,,0.9071666666666667,0.9054140808902205,0.9133383571966842,1.6576666666666666,0.6576666666666666,0.457,1.3349561830574488
uci_default,7,logreg,none,cost_tuned_threshold,20.0,1.0,0.0,0.006,0.22316666666666668,0.002995934089450032,0.9984928409947249,1.0,0.0,0.7831666666666667,0.7831666666666667
uci_default,7,logreg,none,mondrian_cp,20.0,1.0,0.25,,0.9071666666666667,0.9054140808902205,0.9133383571966842,1.6576666666666666,0.6576666666666666,0.6214166666666666,1.3349561830574488
uci_default,7,logreg,none,cost_tuned_threshold,20.0,1.0,0.25,0.006,0.22316666666666668,0.002995934089450032,0.9984928409947249,1.0,0.0,0.7831666666666667,0.7831666666666667
uci_default,7,logreg,none,mondrian_cp,20.0,1.0,0.5,,0.9071666666666667,0.9054140808902205,0.9133383571966842,1.6576666666666666,0.6576666666666666,0.7858333333333334,1.3349561830574488
uci_default,7,logreg,none,cost_tuned_threshold,20.0,1.0,0.5,0.006,0.22316666666666668,0.002995934089450032,0.9984928409947249,1.0,0.0,0.7831666666666667,0.7831666666666667
uci_default,7,logreg,none,mondrian_cp,20.0,1.0,1.0,,0.9071666666666667,0.9054140808902205,0.9133383571966842,1.6576666666666666,0.6576666666666666,1.1146666666666667,1.3349561830574488
uci_default,7,logreg,none,cost_tuned_threshold,20.0,1.0,1.0,0.006,0.22316666666666668,0.002995934089450032,0.9984928409947249,1.0,0.0,0.7831666666666667,0.7831666666666667
uci_default,7,logreg,sigmoid,mondrian_cp,5.0,1.0,0.0,,0.9058333333333334,0.9028461373849775,0.9163526752072344,1.657,0.657,0.16816666666666666,0.4902818270165209
uci_default,7,logreg,sigmoid,cost_tuned_threshold,5.0,1.0,0.0,0.212,0.7396666666666667,0.7845067408517012,0.5817633760361718,1.0,0.0,0.6303333333333333,0.6303333333333333
uci_default,7,logreg,sigmoid,mondrian_cp,5.0,1.0,0.25,,0.9058333333333334,0.9028461373849775,0.9163526752072344,1.657,0.657,0.3324166666666667,0.4902818270165209
uci_default,7,logreg,sigmoid,cost_tuned_threshold,5.0,1.0,0.25,0.212,0.7396666666666667,0.7845067408517012,0.5817633760361718,1.0,0.0,0.6303333333333333,0.6303333333333333
uci_default,7,logreg,sigmoid,mondrian_cp,5.0,1.0,0.5,,0.9058333333333334,0.9028461373849775,0.9163526752072344,1.657,0.657,0.49666666666666665,0.4902818270165209
uci_default,7,logreg,sigmoid,cost_tuned_threshold,5.0,1.0,0.5,0.212,0.7396666666666667,0.7845067408517012,0.5817633760361718,1.0,0.0,0.6303333333333333,0.6303333333333333
uci_default,7,logreg,sigmoid,mondrian_cp,5.0,1.0,1.0,,0.9058333333333334,0.9028461373849775,0.9163526752072344,1.657,0.657,0.8251666666666667,0.4902818270165209
uci_default,7,logreg,sigmoid,cost_tuned_threshold,5.0,1.0,1.0,0.212,0.7396666666666667,0.7845067408517012,0.5817633760361718,1.0,0.0,0.6303333333333333,0.6303333333333333
uci_default,7,logreg,sigmoid,mondrian_cp,10.0,1.0,0.0,,0.9058333333333334,0.9028461373849775,0.9163526752072344,1.657,0.657,0.26066666666666666,0.7599611273080661
uci_default,7,logreg,sigmoid,cost_tuned_threshold,10.0,1.0,0.0,0.06,0.22266666666666668,0.0019259576289321636,1.0,1.0,0.0,0.7773333333333333,0.7773333333333333
uci_default,7,logreg,sigmoid,mondrian_cp,10.0,1.0,0.25,,0.9058333333333334,0.9028461373849775,0.9163526752072344,1.657,0.657,0.42491666666666666,0.7599611273080661
uci_default,7,logreg,sigmoid,cost_tuned_threshold,10.0,1.0,0.25,0.06,0.22266666666666668,0.0019259576289321636,1.0,1.0,0.0,0.7773333333333333,0.7773333333333333
uci_default,7,logreg,sigmoid,mondrian_cp,10.0,1.0,0.5,,0.9058333333333334,0.9028461373849775,0.9163526752072344,1.657,0.657,0.5891666666666666,0.7599611273080661
uci_default,7,logreg,sigmoid,cost_tuned_threshold,10.0,1.0,0.5,0.06,0.22266666666666668,0.0019259576289321636,1.0,1.0,0.0,0.7773333333333333,0.7773333333333333
uci_default,7,logreg,sigmoid,mondrian_cp,10.0,1.0,1.0,,0.9058333333333334,0.9028461373849775,0.9163526752072344,1.657,0.657,0.9176666666666666,0.7599611273080661
uci_default,7,logreg,sigmoid,cost_tuned_threshold,10.0,1.0,1.0,0.06,0.22266666666666668,0.0019259576289321636,1.0,1.0,0.0,0.7773333333333333,0.7773333333333333
uci_default,7,logreg,sigmoid,mondrian_cp,20.0,1.0,0.0,,0.9058333333333334,0.9028461373849775,0.9163526752072344,1.657,0.657,0.44566666666666666,1.2993197278911566
uci_default,7,logreg,sigmoid,cost_tuned_threshold,20.0,1.0,0.0,0.06,0.22266666666666668,0.0019259576289321636,1.0,1.0,0.0,0.7773333333333333,0.7773333333333333
uci_default,7,logreg,sigmoid,mondrian_cp,20.0,1.0,0.25,,0.9058333333333334,0.9028461373849775,0.9163526752072344,1.657,0.657,0.6099166666666667,1.2993197278911566
uci_default,7,logreg,sigmoid,cost_tuned_threshold,20.0,1.0,0.25,0.06,0.22266666666666668,0.0019259576289321636,1.0,1.0,0.0,0.7773333333333333,0.7773333333333333
uci_default,7,logreg,sigmoid,mondrian_cp,20.0,1.0,0.5,,0.9058333333333334,0.9028461373849775,0.9163526752072344,1.657,0.657,0.7741666666666667,1.2993197278911566
uci_default,7,logreg,sigmoid,cost_tuned_threshold,20.0,1.0,0.5,0.06,0.22266666666666668,0.0019259576289321636,1.0,1.0,0.0,0.7773333333333333,0.7773333333333333
uci_default,7,logreg,sigmoid,mondrian_cp,20.0,1.0,1.0,,0.9058333333333334,0.9028461373849775,0.9163526752072344,1.657,0.657,1.1026666666666667,1.2993197278911566
uci_default,7,logreg,sigmoid,cost_tuned_threshold,20.0,1.0,1.0,0.06,0.22266666666666668,0.0019259576289321636,1.0,1.0,0.0,0.7773333333333333,0.7773333333333333
uci_default,7,logreg,isotonic,mondrian_cp,5.0,1.0,0.0,,0.9306666666666666,0.9156858549111919,0.9834212509419744,1.7925,0.7925,0.084,0.40481927710843374
uci_default,7,logreg,isotonic,cost_tuned_threshold,5.0,1.0,0.0,0.196,0.736,0.7772309009201798,0.5908063300678221,1.0,0.0,0.626,0.626
uci_default,7,logreg,isotonic,mondrian_cp,5.0,1.0,0.25,,0.9306666666666666,0.9156858549111919,0.9834212509419744,1.7925,0.7925,0.282125,0.40481927710843374
uci_default,7,logreg,isotonic,cost_tuned_threshold,5.0,1.0,0.25,0.196,0.736,0.7772309009201798,0.5908063300678221,1.0,0.0,0.626,0.626
uci_default,7,logreg,isotonic,mondrian_cp,5.0,1.0,0.5,,0.9306666666666666,0.9156858549111919,0.9834212509419744,1.7925,0.7925,0.48025,0.40481927710843374
uci_default,7,logreg,isotonic,cost_tuned_threshold,5.0,1.0,0.5,0.196,0.736,0.7772309009201798,0.5908063300678221,1.0,0.0,0.626,0.626
uci_default,7,logreg,isotonic,mondrian_cp,5.0,1.0,1.0,,0.9306666666666666,0.9156858549111919,0.9834212509419744,1.7925,0.7925,0.8765,0.40481927710843374
uci_default,7,logreg,isotonic,cost_tuned_threshold,5.0,1.0,1.0,0.196,0.736,0.7772309009201798,0.5908063300678221,1.0,0.0,0.626,0.626
uci_default,7,logreg,isotonic,mondrian_cp,10.0,1.0,0.0,,0.9306666666666666,0.9156858549111919,0.9834212509419744,1.7925,0.7925,0.10233333333333333,0.4931726907630522
