model,probability_calibration,method,marginal_coverage_mean,coverage_class_1_mean,average_set_size_mean,abstention_rate_mean,mean_cost_mean,cost_rank,minority_coverage_rank
ada,sigmoid,cost_tuned_threshold,0.7810658427587343,0.8152257692441036,1.0,0.0,0.33150854523886397,4.533333333333333,3.9
ada,sigmoid,marginal_cp,0.9038845742309359,0.2064684280140412,1.012469913340463,0.10616958302961596,0.45407671228063146,4.133333333333334,3.933333333333333
ada,sigmoid,mondrian_cp,0.9049307465879515,0.8992541596706122,1.2612900801902884,0.2921923353366084,0.17158136604390575,4.466666666666667,4.7
ada,sigmoid,random_oversampling_threshold,0.7846883833812904,0.8302361922656138,1.0,0.0,0.32692420962506025,4.4,4.266666666666667
ada,sigmoid,raps_cp,0.9006724089060468,0.24144076691501254,1.054140660454101,0.13326867255535407,0.5616537177047897,5.6,5.833333333333333
ada,sigmoid,risk_controlled_rejector,0.9361093911087681,0.21329467363440893,1.0606688835943698,0.06066888359436977,0.5988457357305683,4.833333333333333,4.833333333333333
ada,sigmoid,smote_threshold,0.7666034750901084,0.8144323934608985,1.0,0.0,0.3476890216103665,4.933333333333334,4.6
et,isotonic,aps_cp,0.9001897949776873,0.6494939835344973,1.0704483782095706,0.19343742168872355,0.31039804594281034,2.4,2.3
et,isotonic,capacity_limited_aps,0.9116565476436223,0.6083604472954641,1.0325623246849538,0.09825271100391676,0.4380145710426546,2.8,2.6333333333333333
et,isotonic,capacity_limited_class_conditional_rejector,0.9374153499500463,0.5045421900864021,1.0391723579839351,0.039172357983935015,0.5182437512227578,2.533333333333333,2.5
et,isotonic,capacity_limited_confidence_rejector,0.9480926420218144,0.6815528884702041,1.0951268324473633,0.09512683244736332,0.4152476443506294,2.8333333333333335,2.8666666666666667
et,isotonic,capacity_limited_mondrian,0.9078121341765353,0.749399996439226,1.0654158800488216,0.0821676592361212,0.36216927278327327,2.8,3.2333333333333334
et,isotonic,capacity_limited_raps,0.8948223417291833,0.5477215964509717,0.9998654983709117,0.08871267040897086,0.4752822163149928,2.466666666666667,2.433333333333333
et,isotonic,capacity_limited_risk_controlled_rejector,0.9314001604443823,0.5012649075003177,1.0231109104274265,0.02311091042742645,0.5259099109105694,2.8666666666666667,2.7666666666666666
et,isotonic,class_conditional_rejector,0.9586922604768344,0.557551020487218,1.1166994157010592,0.1166994157010593,0.371660177611478,3.1333333333333333,3.1666666666666665
et,isotonic,class_weighted_threshold,0.8026643555804107,0.8130056534109241,1.0,0.0,0.3182120674833197,2.8,3.2666666666666666
et,isotonic,confidence_rejector,0.9951615282569427,0.9585493340994583,1.6816862173496288,0.6816862173496288,0.031222601878795917,4.533333333333333,4.333333333333333
et,isotonic,cost_controlled_mondrian,0.9916308924056388,0.9793044860330161,1.7238633060760502,0.7266429423278776,0.020222247062590553,4.366666666666666,4.0
et,isotonic,cost_tuned_threshold,0.8043086457927555,0.8227613632737895,1.0,0.0,0.3092992314081298,2.533333333333333,3.2666666666666666
et,isotonic,marginal_cp,0.9215188328775714,0.4038912118550245,1.035472415368212,0.10284283718499546,0.3703305015402981,2.6,2.6333333333333333
et,isotonic,mondrian_cp,0.9345143892068959,0.9358071358302316,1.3989173456362585,0.41566912482355817,0.11464672247966802,3.8666666666666667,4.666666666666667
et,isotonic,random_oversampling_threshold,0.7940251148930169,0.815181155414132,1.0,0.0,0.3202531395061198,3.0,3.0
et,isotonic,raps_cp,0.9009375202362092,0.5778535760657119,1.0408803685489045,0.14334606079759407,0.381416303824144,2.4,2.2333333333333334
