dataset,model,probability_calibration,defer_cost,n_seeds,mondrian_cost,mondrian_abstain,threshold_cost,cost_diff,cost_diff_ci_lo,cost_diff_ci_hi,p_mondrian_cheaper,mondrian_wins
sick_numeric,gnb,none,0.5,10,0.4031788079470199,0.7202649006622517,0.604635761589404,-0.20145695364238408,-0.28205529622532877,-0.12085861105943937,0.9000999999999999,True
sick_numeric,gnb,none,1.0,10,0.7633112582781457,0.7202649006622517,0.604635761589404,0.15867549668874173,0.06752674286032083,0.24982425051716262,0.0,False
sick_numeric,gnb,none,2.0,10,1.483576158940397,0.7202649006622517,0.604635761589404,0.8789403973509934,0.718618765115017,1.03926202958697,0.0,False
sick_numeric,gnb,sigmoid,0.0,10,0.025165562913907286,0.7543046357615895,0.6241059602649008,-0.5989403973509935,-0.6116923820075182,-0.5861884126944688,1.0,True
sick_numeric,gnb,sigmoid,0.5,10,0.40231788079470193,0.7543046357615895,0.6241059602649008,-0.22178807947019866,-0.2621154614655403,-0.18146069747485696,0.9788,True
sick_numeric,gnb,sigmoid,1.0,10,0.7794701986754966,0.7543046357615895,0.6241059602649008,0.15536423841059602,0.07495532405231778,0.23577315276887426,0.0627,False
sick_numeric,gnb,sigmoid,2.0,10,1.533774834437086,0.7543046357615895,0.6241059602649008,0.9096688741721854,0.7475855052569367,1.0717522430874342,0.0,False
sick_numeric,hgb,isotonic,0.0,10,0.05086092715231788,0.11271523178807948,0.07735099337748344,-0.026490066225165566,-0.0566482027837807,0.003668070333449569,0.5067,True
sick_numeric,hgb,isotonic,0.5,10,0.10721854304635761,0.11271523178807948,0.07735099337748344,0.02986754966887417,-0.03188946886021409,0.09162456819796244,0.29710000000000003,False
sick_numeric,hgb,isotonic,1.0,10,0.16357615894039737,0.11271523178807948,0.07735099337748344,0.08622516556291392,-0.0625338977059469,0.23498422883177472,0.1524,False
sick_numeric,hgb,isotonic,2.0,10,0.2762913907284768,0.11271523178807948,0.07735099337748344,0.19894039735099336,-0.12508530892710526,0.522966103629092,0.0506,False
sick_numeric,hgb,none,0.0,10,0.03350993377483444,0.07470198675496689,0.061324503311258285,-0.02781456953642384,-0.04674164224593726,-0.00888749682691042,0.8691000000000001,True
sick_numeric,hgb,none,0.5,10,0.07086092715231787,0.07470198675496689,0.061324503311258285,0.009536423841059603,-0.007441933420308498,0.026514781102427703,0.3207,False
sick_numeric,hgb,none,1.0,10,0.10821192052980133,0.07470198675496689,0.061324503311258285,0.046887417218543045,0.025960444929566007,0.06781438950752008,0.1157,False
sick_numeric,hgb,none,2.0,10,0.18291390728476822,0.07470198675496689,0.061324503311258285,0.12158940397350992,0.08422345240261997,0.15895535554439988,0.0424,False
sick_numeric,hgb,sigmoid,0.0,10,0.03139072847682119,0.0700662251655629,0.07403973509933774,-0.04264900662251656,-0.05848642315144008,-0.026811590093593046,0.917,True
sick_numeric,hgb,sigmoid,0.5,10,0.06642384105960264,0.0700662251655629,0.07403973509933774,-0.0076158940397350995,-0.02327266971992214,0.008040881640451941,0.5141,True
sick_numeric,hgb,sigmoid,1.0,10,0.10145695364238412,0.0700662251655629,0.07403973509933774,0.027417218543046358,0.007038272803154229,0.04779616428293849,0.2238,False
sick_numeric,hgb,sigmoid,2.0,10,0.171523178807947,0.0700662251655629,0.07403973509933774,0.09748344370860929,0.0616616226193473,0.13330526479787128,0.06300000000000001,False
sick_numeric,logreg,isotonic,0.0,10,0.08370860927152318,0.5064900662251655,0.20052980132450332,-0.11682119205298011,-0.16173703524343058,-0.07190534886252965,0.9567,True
sick_numeric,logreg,isotonic,0.5,10,0.3369536423841059,0.5064900662251655,0.20052980132450332,0.13642384105960265,0.061583249362596126,0.21126443275660917,0.09240000000000001,False
sick_numeric,logreg,isotonic,1.0,10,0.5901986754966888,0.5064900662251655,0.20052980132450332,0.38966887417218543,0.21475764135835837,0.5645801069860125,0.0,False
sick_numeric,logreg,isotonic,2.0,10,1.0966887417218543,0.5064900662251655,0.20052980132450332,0.8961589403973509,0.5156237622984265,1.2766941184962752,0.0,False
sick_numeric,logreg,none,0.0,10,0.14013245033112584,0.15841059602649005,0.1947019867549669,-0.05456953642384106,-0.08319863352528695,-0.02594043932239517,0.7592,True
sick_numeric,logreg,none,0.5,10,0.21933774834437086,0.15841059602649005,0.1947019867549669,0.024635761589403976,-0.022056565200867705,0.07132808837967566,0.32199999999999995,False
sick_numeric,logreg,none,1.0,10,0.29854304635761586,0.15841059602649005,0.1947019867549669,0.103841059602649,0.02013406501124182,0.18754805419405618,0.22069999999999998,False
sick_numeric,logreg,none,2.0,10,0.45695364238410596,0.15841059602649005,0.1947019867549669,0.2622516556291391,0.09775650611107253,0.42674680514720564,0.14,False
sick_numeric,logreg,sigmoid,0.0,10,0.13933774834437085,0.17668874172185428,0.20066225165562912,-0.06132450331125827,-0.09234928270908903,-0.030299723913427515,0.7914,True
sick_numeric,logreg,sigmoid,0.5,10,0.22768211920529796,0.17668874172185428,0.20066225165562912,0.027019867549668876,-0.017762237360809043,0.0718019724601468,0.3403,False
sick_numeric,logreg,sigmoid,1.0,10,0.3160264900662252,0.17668874172185428,0.20066225165562912,0.11536423841059602,0.022811090079240814,0.20791738674195123,0.2313,False
sick_numeric,logreg,sigmoid,2.0,10,0.4927152317880795,0.17668874172185428,0.20066225165562912,0.29205298013245035,0.09650087187323778,0.48760508839166294,0.13599999999999998,False
sick_numeric,rf,isotonic,0.0,10,0.057350993377483436,0.1694039735099338,0.08569536423841059,-0.028344370860927153,-0.04482771948717769,-0.011861022234676614,0.7087,True
sick_numeric,rf,isotonic,0.5,10,0.14205298013245032,0.1694039735099338,0.08569536423841059,0.05635761589403974,-0.0201590018625541,0.13287423365063358,0.2643,False
