dataset,model,probability_calibration,method,n_seeds,marginal_coverage_mean,marginal_coverage_ci_lo,marginal_coverage_ci_hi,coverage_class_0_mean,coverage_class_0_ci_lo,coverage_class_0_ci_hi,coverage_class_1_mean,coverage_class_1_ci_lo,coverage_class_1_ci_hi,average_set_size_mean,average_set_size_ci_lo,average_set_size_ci_hi,abstention_rate_mean,abstention_rate_ci_lo,abstention_rate_ci_hi,mean_cost_mean,mean_cost_ci_lo,mean_cost_ci_hi,break_even_defer_cost,case_note
uci_default,hgb,isotonic,raps_cp,10,0.9030333333333331,0.8991780515242872,0.9068886151423791,0.9806976246522575,0.9781304402926008,0.9832648090119143,0.6295403165033912,0.6169260671361668,0.6421545658706155,1.3036666666666665,1.2888878327862754,1.3184455005470577,0.30366666666666664,0.2888878327862755,0.3184455005470578,0.8343666666666666,0.8058509222817279,0.8628824110516052,0.8301090106250862,UCI credit default; class 1 = default; false negative is missed default.
uci_default,hgb,isotonic,risk_controlled_rejector,10,0.9068999999999999,0.9020424814341801,0.9117575185658198,0.9912261930237536,0.9864223321069484,0.9960300539405588,0.6099472494348154,0.5957987021377164,0.6240957967319144,1.2528166666666665,1.2343497756277835,1.2712835577055495,0.25281666666666663,0.2343497756277837,0.27128355770554957,0.8695,0.8380161189114961,0.900983881088504,0.8301090106250862,UCI credit default; class 1 = default; false negative is missed default.
uci_default,hgb,none,aps_cp,10,0.9019166666666667,0.8997733250388963,0.9040600082944371,0.9728011983736359,0.9714949634757597,0.9741074332715121,0.6522984174830444,0.6445820404784743,0.6600147944876145,1.3230499999999998,1.3131474490354786,1.332952550964521,0.3423833333333334,0.3326749805061395,0.3520916861605273,0.7748166666666666,0.7571256936054738,0.7925076397278594,0.816537383482172,UCI credit default; class 1 = default; false negative is missed default.
uci_default,hgb,none,capacity_limited_mondrian,10,0.83715,0.8343818011471555,0.8399181988528444,0.8993152150652686,0.8935996424632091,0.905030787667328,0.6182366239638283,0.6072757024512696,0.629197545476387,1.1,1.1,1.1,0.1,0.1,0.1,0.92275,0.9020813944457892,0.9434186055542108,0.816537383482172,UCI credit default; class 1 = default; false negative is missed default.
uci_default,hgb,none,class_conditional_rejector,10,0.9510666666666667,0.9473541463487276,0.9547791869846058,0.9981596404879094,0.9973087483230697,0.9990105326527491,0.7852298417483043,0.7687810158878234,0.8016786676087853,1.48055,1.4581542236775231,1.502945776322477,0.4805499999999999,0.45815422367752295,0.5029457763224768,0.4764333333333333,0.4400329911127198,0.5128336755539468,0.816537383482172,UCI credit default; class 1 = default; false negative is missed default.
uci_default,hgb,none,class_weighted_threshold,10,0.44416666666666665,0.4051026203255206,0.48323071300781273,0.30766103145730794,0.251078175847722,0.36424388706689387,0.9248681235870384,0.9016007093418926,0.9481355378321842,1.0,1.0,1.0,0.0,0.0,0.0,0.7053833333333334,0.6925416395851945,0.7182250270814722,0.816537383482172,UCI credit default; class 1 = default; false negative is missed default.
uci_default,hgb,none,confidence_rejector,10,0.9997333333333334,0.9994937777777778,0.9999728888888889,1.0,1.0,1.0,0.9987942727957799,0.9977111278573223,0.9998774177342376,1.9932500000000002,1.9885208488742303,1.99797915112577,0.9932500000000001,0.9885208488742302,0.99797915112577,0.002666666666666667,0.0002711111111111117,0.005062222222222222,0.816537383482172,UCI credit default; class 1 = default; false negative is missed default.
uci_default,hgb,none,cost_controlled_mondrian,10,0.9903666666666666,0.989102617206781,0.9916307161265522,0.9896854269206077,0.9876926525102737,0.9916782013309416,0.9927656367746799,0.9888011643915775,0.9967301091577823,1.9228333333333336,1.9091842077519712,1.936482458914696,0.9228333333333334,0.909184207751971,0.9364824589146958,0.02403333333333333,0.016065255429504738,0.03200141123716192,0.816537383482172,UCI credit default; class 1 = default; false negative is missed default.
uci_default,hgb,none,cost_tuned_threshold,10,0.4399166666666667,0.4067153302180339,0.47311800311529945,0.3017761609244597,0.25435604169552833,0.34919628015339105,0.9263752825923135,0.9091503957806671,0.9436001694039599,1.0,1.0,1.0,0.0,0.0,0.0,0.7066333333333333,0.6993228735987569,0.7139437930679098,0.816537383482172,UCI credit default; class 1 = default; false negative is missed default.
uci_default,hgb,none,marginal_cp,10,0.9013,0.8977285772382411,0.9048714227617589,0.991675583137171,0.9894251590836294,0.9939260071907126,0.5830444611906557,0.5727522288577712,0.5933366935235401,1.2281166666666665,1.2159188703447439,1.2403144629885892,0.22811666666666666,0.21591887034474397,0.24031446298858936,0.92865,0.9048541799821693,0.9524458200178306,0.816537383482172,UCI credit default; class 1 = default; false negative is missed default.
